securityName,secId,performanceId,holdingTypeId,weighting,numberOfShare,marketValue,shareChange,country,ticker,totalReturn1Year,forwardPERatio,stockRating,assessment,economicMoat,sector,sectorCode,holdingTrend,holdingType,isin,cusip,secondarySectorId,superSectorName,primarySectorName,secondarySectorName,firstBoughtDate,maturityDate,coupon,currency,localCurrencyCode,prospectusNetExpenseRatio,oneYearReturn,morningstarRating,ePUsedForOverallRating,analystRating,medalistRating,medalistRatingLabel,hasIssuerRating,overallRatingPublishDateUtc,totalAssets,ttmYield,epUsedFor1YearReturn,morningstarCategory,totalAssetsMagnitude,lastTurnoverRatio,susEsgRiskScore,susEsgRiskGlobes,esgAsOfDate,susEsgRiskCategory,managementExpenseRatio,qualRating,quantRating,bestRatingType,securityType,domicileCountryId,currencyName,originalMarketValue,isMomentumFilterFlag
USD - Spendable Cash,,,C,0.22415,8341273.0,8341273.0,8341273.0,United States,,,,,,,,,,Other,,,501011,cashAndEquivalents,cashAndEquivalents,Cash,,2026-02-18T06:00:00.000,,USD,USD,,,,0,_PO_,,,False,,,,0,,,,,,,,,,,,,,US Dollar,8341273.0,
AUD CASH(Corp Act),,,CH,0.12183,6436993.0,4533896.0,6436993.0,,,,,,,,,,,Other,,,501013,cashAndEquivalents,cashAndEquivalents,Currency,,2026-02-18T06:00:00.000,,AUD,AUD,,,,0,_PO_,,,False,,,,0,,,,,,,,,,,,,,Australian Dollar,4533896.0,
AUD/USD Purchased,,,CU,0.10434,5533471.0,3883052.0,5533471.0,,,,,,,,,,,Other,,,602030,derivative,Future/Forward,Currency Forward/Future,,2026-02-18T06:00:00.000,,AUD,AUD,,,,0,_PO_,,,False,,,,0,,,,,,,,,,,,,,Australian Dollar,3883052.0,
AUD - Other Payables/Receivables,,,C,0.08955,4731226.0,3332439.0,4731226.0,United States,,,,,,,,,,Other,,,501011,cashAndEquivalents,cashAndEquivalents,Cash,,2026-02-18T06:00:00.000,,AUD,AUD,,,,0,_PO_,,,False,,,,0,,,,,,,,,,,,,,Australian Dollar,3332439.0,
HKD/USD Purchased,,,CU,0.02478,7206648.0,921997.0,7206648.0,,,,,,,,,,,Other,,,602030,derivative,Future/Forward,Currency Forward/Future,,2026-02-20T06:00:00.000,,HKD,HKD,,,,0,_PO_,,,False,,,,0,,,,,,,,,,,,,,Hong Kong Dollar,921997.0,
HKD/USD Purchased,,,CU,0.02425,7051755.0,902261.0,7051755.0,,,,,,,,,,,Other,,,602030,derivative,Future/Forward,Currency Forward/Future,,2026-02-23T06:00:00.000,,HKD,HKD,,,,0,_PO_,,,False,,,,0,,,,,,,,,,,,,,Hong Kong Dollar,902261.0,
SGD - Other Payables/Receivables,,,C,0.02158,1016205.0,803070.0,1016205.0,United States,,,,,,,,,,Other,,,501011,cashAndEquivalents,cashAndEquivalents,Cash,,2026-02-18T06:00:00.000,,SGD,SGD,,,,0,_PO_,,,False,,,,0,,,,,,,,,,,,,,Singapore Dollar,803070.0,
SGD/USD Purchased,,,CU,0.01497,706647.0,557218.0,706647.0,,,,,,,,,,,Other,,,602030,derivative,Future/Forward,Currency Forward/Future,,2026-02-20T06:00:00.000,,SGD,SGD,,,,0,_PO_,,,False,,,,0,,,,,,,,,,,,,,Singapore Dollar,557218.0,
CASH COLLATERAL USD MLIFT,,,CA,0.01298,483000.0,483000.0,483000.0,United Kingdom,,,,,,,,,,Other,,,501024,cashAndEquivalents,cashAndEquivalents,Collateral,,2049-12-31T06:00:00.000,,USD,USD,,,,0,_PO_,,,False,,,,0,,,,,,,,,,,,,,US Dollar,483000.0,
NZD CASH(Corp Act),,,CH,0.00332,205624.0,123673.0,205624.0,,,,,,,,,,,Other,,,501013,cashAndEquivalents,cashAndEquivalents,Currency,,2026-02-18T06:00:00.000,,NZD,NZD,,,,0,_PO_,,,False,,,,0,,,,,,,,,,,,,,New Zealand Dollar,123673.0,
NZD/USD Purchased,,,CU,0.00285,176778.0,105996.0,176778.0,,,,,,,,,,,Other,,,602030,derivative,Future/Forward,Currency Forward/Future,,2026-02-18T06:00:00.000,,NZD,NZD,,,,0,_PO_,,,False,,,,0,,,,,,,,,,,,,,New Zealand Dollar,105996.0,
GBP - Spendable Cash,,,C,0.00268,73883.0,99768.0,73883.0,United States,,,,,,,,,,Other,,,501011,cashAndEquivalents,cashAndEquivalents,Cash,,2026-02-18T06:00:00.000,,GBP,GBP,,,,0,_PO_,,,False,,,,0,,,,,,,,,,,,,,British Pound Sterling,99768.0,
