securityName,secId,performanceId,holdingTypeId,weighting,numberOfShare,marketValue,shareChange,country,ticker,totalReturn1Year,forwardPERatio,stockRating,assessment,economicMoat,sector,sectorCode,holdingTrend,holdingType,isin,cusip,secondarySectorId,superSectorName,primarySectorName,secondarySectorName,firstBoughtDate,maturityDate,coupon,currency,localCurrencyCode,prospectusNetExpenseRatio,oneYearReturn,morningstarRating,ePUsedForOverallRating,analystRating,medalistRating,medalistRatingLabel,hasIssuerRating,overallRatingPublishDateUtc,totalAssets,ttmYield,epUsedFor1YearReturn,morningstarCategory,totalAssetsMagnitude,lastTurnoverRatio,susEsgRiskScore,susEsgRiskGlobes,esgAsOfDate,susEsgRiskCategory,managementExpenseRatio,qualRating,quantRating,bestRatingType,securityType,domicileCountryId,currencyName,originalMarketValue,isMomentumFilterFlag
NIBE Industrier AB Class B,0P0000A6JK,0P0000A6JK,E,0.40289,296919.0,1100968.0,0.0,Sweden,NIBE B,-1.4896,,3,Fairly Valued,,Industrials,industrials,"{'trend': [966503.0, 1030045.0, 962560.0, 1100968.0]}",Equity,SE0015988019,,,,,,2025-06-02T05:00:00.000,,,SEK,,,,,0,,,,False,,,,0,,,,29.2383,3,2026-01-07T06:00:00.000,Medium,,,3,Quan,ST,SWE,Swedish Krona,1100967.8,True
Industrivarden AB Class A,0P0000A6GK,0P0000A6GK,E,0.38364,23150.0,1048376.0,0.0,Sweden,INDU A,22.9437,,3,Fairly Valued,,Financial Services,financialService,"{'trend': [899267.0, 939455.0, 977782.0, 1048376.0]}",Equity,SE0000190126,,,,,,2025-06-02T05:00:00.000,,,SEK,,,,,0,,,,False,,,,0,,,,14.3008,4,2026-01-07T06:00:00.000,Low,,,3,Quan,ST,SWE,Swedish Krona,1048375.88,False
Beijer Ref AB Class B,0P0000DLEN,0P0000DLEN,E,0.38203,82261.0,1043964.0,0.0,Sweden,BEIJ B,-18.4666,,5,Undervalued,,Industrials,industrials,"{'trend': [1126271.0, 1131064.0, 1047488.0, 1043964.0]}",Equity,SE0015949748,,,,,,2025-06-02T05:00:00.000,,,SEK,,,,,0,,,,False,,,,0,,,,24.5331,3,2026-01-07T06:00:00.000,Medium,,,5,Quan,ST,SWE,Swedish Krona,1043963.56,False
Gjensidige Forsikring ASA,0P0000RXLJ,0P0000RXLJ,E,0.35926,41319.0,981734.0,0.0,Norway,GJF,23.3778,,2,Overvalued,,Financial Services,financialService,"{'trend': [992839.0, 1053335.0, 988515.0, 981734.0]}",Equity,NO0010582521,,,,,,2025-06-02T05:00:00.000,,,NOK,,,,,0,,,,False,,,,0,,,,17.4688,4,2026-01-07T06:00:00.000,Low,,,2,Quan,ST,NOR,Norwegian Krone,981734.08,False
Fastighets AB Balder Class B,0P0000A6JC,0P0000A6JC,E,0.32449,148335.0,886736.0,0.0,Sweden,BALD B,-16.0728,,5,Undervalued,,Real Estate,realEstate,"{'trend': [927195.0, 934372.0, 954992.0, 886736.0]}",Equity,SE0017832488,,,,,,2025-06-02T05:00:00.000,,,SEK,,,,,0,,,,False,,,,0,,,,14.3068,4,2026-01-07T06:00:00.000,Low,,,5,Quan,ST,SWE,Swedish Krona,886736.39,False
L E Lundbergforetagen AB Class B,0P0000A6I1,0P0000A6I1,E,0.29307,15701.0,800879.0,0.0,Sweden,LUND B,4.7359,,3,Fairly Valued,,Industrials,industrials,"{'trend': [732264.0, 741762.0, 787204.0, 800879.0]}",Equity,SE0000108847,,,,,,2025-06-02T05:00:00.000,,,SEK,,,,,0,,,,False,,,,0,,,,18.5458,4,2026-01-07T06:00:00.000,Low,,,3,Quan,ST,SWE,Swedish Krona,800879.18,False
AB Sagax Class B,0P0000YG16,0P0000YG16,E,0.27208,45404.0,743505.0,0.0,Sweden,SAGA B,-19.9012,,5,Undervalued,,Real Estate,realEstate,"{'trend': [842044.0, 828653.0, 851506.0, 743505.0]}",Equity,SE0005127818,,,,,,2025-06-02T05:00:00.000,,,SEK,,,,,0,,,,False,,,,0,,,,16.7667,4,2026-01-07T06:00:00.000,Low,,,5,Quan,ST,SWE,Swedish Krona,743504.79,False
SalMar ASA,0P0000C80Q,0P0000C80Q,E,0.25739,13491.0,703370.0,0.0,Norway,SALM,6.6724,,3,Fairly Valued,,Consumer Defensive,consumerDefensive,"{'trend': [681102.0, 703220.0, 676942.0, 703370.0]}",Equity,NO0010310956,,,,,,2025-06-02T05:00:00.000,,,NOK,,,,,0,,,,False,,,,0,,,,21.6169,3,2026-01-07T06:00:00.000,Medium,,,3,Quan,ST,NOR,Norwegian Krone,703370.14,False
Investment AB Latour Class B,0P0000A6JR,0P0000A6JR,E,0.23366,30589.0,638509.0,0.0,Sweden,LATO B,-22.9893,,3,Fairly Valued,,Industrials,industrials,"{'trend': [658672.0, 636812.0, 647153.0, 638509.0]}",Equity,SE0010100958,,,,,,2025-06-02T05:00:00.000,,,SEK,,,,,0,,,,False,,,,0,,,,16.4418,4,2026-01-07T06:00:00.000,Low,,,3,Quan,ST,SWE,Swedish Krona,638509.3,False
Rockwool AS Class B,0P0000A5L9,0P0000A5L9,E,0.21921,19918.0,599040.0,0.0,Denmark,ROCK B,-18.2063,,3,Fairly Valued,,Industrials,industrials,"{'trend': [576842.0, 601087.0, 571852.0, 599040.0]}",Equity,DK0063855168,,,,,,2025-06-02T05:00:00.000,,,DKK,,,,,0,,,,False,,,,0,,,,19.7693,4,2026-01-07T06:00:00.000,Low,,,3,Quan,ST,DNK,Danish Krone,599039.6,False
Holmen AB Class B,0P0000A6MI,0P0000A6MI,E,0.17507,14152.0,478404.0,0.0,Sweden,HOLM B,-12.304,,5,Undervalued,,Basic Materials,basicMaterials,"{'trend': [437036.0, 447394.0, 458515.0, 478404.0]}",Equity,SE0011090018,,,,,,2025-06-02T05:00:00.000,,,SEK,,,,,0,,,,False,,,,0,,,,18.1315,4,2026-01-07T06:00:00.000,Low,,,5,Quan,ST,SWE,Swedish Krona,478403.73,False
Demant AS,0P0000A5LK,0P0000A5LK,E,0.17003,18475.0,464641.0,0.0,Denmark,DEMANT,-32.5633,,4,Undervalued,Narrow,Healthcare,healthcare,"{'trend': [554339.0, 544699.0, 543783.0, 464641.0]}",Equity,DK0060738599,,,,,,2025-06-02T05:00:00.000,,,DKK,,,,,0,,,,False,,,,0,,,,24.0049,3,2026-01-07T06:00:00.000,Medium,,,3,Qual,ST,DNK,Danish Krone,464641.46,True
