,securityName,secId,performanceId,holdingTypeId,weighting,numberOfShare,marketValue,shareChange,country,ticker,totalReturn1Year,forwardPERatio,stockRating,assessment,economicMoat,sector,sectorCode,holdingTrend,holdingType,isin,cusip,secondarySectorId,superSectorName,primarySectorName,secondarySectorName,firstBoughtDate,maturityDate,coupon,currency,localCurrencyCode,prospectusNetExpenseRatio,oneYearReturn,morningstarRating,ePUsedForOverallRating,analystRating,medalistRating,medalistRatingLabel,overallRatingPublishDateUtc,totalAssets,ttmYield,epUsedFor1YearReturn,morningstarCategory,totalAssetsMagnitude,lastTurnoverRatio,susEsgRiskScore,susEsgRiskGlobes,esgAsOfDate,susEsgRiskCategory,managementExpenseRatio,qualRating,quantRating,bestRatingType,securityType,domicileCountryId,currencyName,originalMarketValue,isMomentumFilterFlag
86,CapitaLand Investment Ltd,0P0001NCUL,0P0001UJML,E,0.22892,3845200.0,7686542.0,-20100.0,Singapore,9CI,7.5472,15.5521,4,Undervalued,None,Real Estate,realEstate,"{'trend': [7821490.0, 7642805.0, 7867645.0, 7686542.0]}",Equity,SGXE62145532,,,,,,2021-09-15T05:00:00.000,,,SGD,SGD,,,,0,,,,,,,0,,,,11.4443,4.0,2025-12-03T06:00:00.000,Low,,,5,Qual,ST,SGP,Singapore Dollar,7686542.0,False
87,Contact Energy Ltd,0P00007XW0,0P00007XW0,E,0.22068,1380318.0,7409860.0,-7278.0,New Zealand,CEN,10.4427,23.0947,3,Fairly Valued,Narrow,Utilities,utilities,"{'trend': [7090966.0, 7199751.0, 7630560.0, 7409860.0]}",Equity,NZCENE0001S6,,,,,,2025-11-07T06:00:00.000,,,NZD,NZD,,,,0,,,,,,,0,,,,28.7152,3.0,2025-12-03T06:00:00.000,Medium,,,3,Qual,ST,NZL,New Zealand Dollar,7409860.0,False
88,Wilmar International Ltd,0P0000A6QL,0P0000A6QL,E,0.21888,3132400.0,7349590.0,-16500.0,Singapore,F34,4.902,10.2881,3,Fairly Valued,,Consumer Defensive,consumerDefensive,"{'trend': [6756481.0, 7387950.0, 7836139.0, 7349590.0]}",Equity,SG1T56930848,,,,,,2010-02-28T06:00:00.000,,,SGD,SGD,,,,0,,,,,,,0,,,,29.219,3.0,2025-12-03T06:00:00.000,Medium,,,3,Quan,ST,SGP,Singapore Dollar,7349590.0,True
89,CK Infrastructure Holdings Ltd,0P00009S5G,0P00009S5G,E,0.20916,1050000.0,7023299.0,-4500.0,United Kingdom,01038,8.73,14.2653,4,Undervalued,None,Utilities,utilities,"{'trend': [6676154.0, 6907195.0, 7269189.0, 7023299.0]}",Equity,BMG2178K1009,,,,,,2017-06-23T05:00:00.000,,,HKD,HKD,,,,0,,,,,,,0,,,,29.1793,3.0,2025-12-03T06:00:00.000,Medium,,,5,Qual,ST,BMU,Hong Kong Dollar,7023299.0,False
90,Meridian Energy Ltd,0P0000ZT99,0P0000ZT99,E,0.2024,2138431.0,6796308.0,-11277.0,New Zealand,MEL,1.6129,30.9598,3,Fairly Valued,Narrow,Utilities,utilities,"{'trend': [6710021.0, 7351474.0, 6911224.0, 6796308.0]}",Equity,NZMELE0002S7,,,,,,2015-05-31T05:00:00.000,,,NZD,NZD,,,,0,,,,,,,0,,,,19.5446,4.0,2025-12-03T06:00:00.000,Low,,,3,Qual,ST,NZL,New Zealand Dollar,6796308.0,False
91,Sembcorp Industries Ltd,0P0000A6AM,0P0000A6AM,E,0.19651,1463900.0,6598368.0,-7500.0,Singapore,U96,10.7527,,3,Fairly Valued,,Industrials,industrials,"{'trend': [6894142.0, 7445439.0, 6928701.0, 6598368.0]}",Equity,SG1R50925390,,,,,,2023-08-31T05:00:00.000,,,SGD,SGD,,,,0,,,,,,,0,,,,27.0613,3.0,2025-12-03T06:00:00.000,Medium,,,3,Quan,ST,SGP,Singapore Dollar,6598368.0,False
92,The Wharf (Holdings) Ltd,0P00009RP2,0P00009RP2,E,0.14562,1682039.0,4889447.0,-9000.0,Hong Kong,00004,1.0345,,3,Fairly Valued,,Real Estate,realEstate,"{'trend': [4855289.0, 4482298.0, 5098659.0, 4889447.0]}",Equity,HK0004000045,,,,,,2023-11-24T06:00:00.000,,,HKD,HKD,,,,0,,,,,,,0,,,,18.2532,4.0,2025-12-03T06:00:00.000,Low,,,3,Quan,ST,HKG,Hong Kong Dollar,4889447.0,False
93,Swire Pacific Ltd Class A,0P00009RPF,0P00009RPF,E,0.13947,564976.0,4682964.0,-3000.0,Hong Kong,00019,-0.7184,8.6356,4,Undervalued,Narrow,Industrials,industrials,"{'trend': [4831360.0, 4732902.0, 4843833.0, 4682964.0]}",Equity,HK0019000162,,,,,,2010-02-28T06:00:00.000,,,HKD,HKD,,,,0,,,,,,,0,,,,37.3258,2.0,2025-12-03T06:00:00.000,High,,,5,Qual,ST,HKG,Hong Kong Dollar,4682964.0,False
94,AUD - Spendable Cash,,,C,0.49141,24863404.0,16500598.0,24863404.0,United States,,,,,,,,,,Other,,,501011,cashAndEquivalents,cashAndEquivalents,Cash,,2025-12-11T06:00:00.000,,AUD,AUD,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,Australian Dollar,16500598.0,
95,SPI 200 DEC 25,,,EL,0.39012,92.0,13099522.0,92.0,,,,,,,,,,,Other,,,,,,,,2025-12-18T06:00:00.000,,AUD,AUD,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,Australian Dollar,13099522.0,
