,securityName,secId,performanceId,holdingTypeId,weighting,numberOfShare,marketValue,shareChange,country,ticker,totalReturn1Year,forwardPERatio,stockRating,assessment,economicMoat,sector,sectorCode,holdingTrend,holdingType,isin,cusip,secondarySectorId,superSectorName,primarySectorName,secondarySectorName,firstBoughtDate,maturityDate,coupon,currency,localCurrencyCode,prospectusNetExpenseRatio,oneYearReturn,morningstarRating,ePUsedForOverallRating,analystRating,medalistRating,medalistRatingLabel,overallRatingPublishDateUtc,totalAssets,ttmYield,epUsedFor1YearReturn,morningstarCategory,totalAssetsMagnitude,lastTurnoverRatio,susEsgRiskScore,susEsgRiskGlobes,esgAsOfDate,susEsgRiskCategory,managementExpenseRatio,qualRating,quantRating,bestRatingType,securityType,domicileCountryId,currencyName,originalMarketValue,isMomentumFilterFlag
0,Commonwealth Bank of Australia,0P00006WEM,0P00006WEM,E,8.25398,2714968.0,277151109.0,-13104.0,Australia,CBA,2.0886,23.4742,1,Overvalued,Wide,Financial Services,financialService,"{'trend': [299621237.0, 307177564.0, 271539997.0, 277151109.0]}",Equity,AU000000CBA7,,,,,,2010-02-28T06:00:00.000,,,AUD,AUD,,,,0,,,,,,,0,,,,15.8493,4.0,2025-12-03T06:00:00.000,Low,,,2,Qual,ST,AUS,Australian Dollar,277151109.0,False
1,BHP Group Ltd,0P00006WAE,0P00006WAE,E,7.25353,8239741.0,243558265.0,-39813.0,Australia,BHP,13.1855,13.947,3,Fairly Valued,None,Basic Materials,basicMaterials,"{'trend': [231700136.0, 235869314.0, 225168388.0, 243558265.0]}",Equity,AU000000BHP4,,,,,,2010-02-28T06:00:00.000,,,AUD,AUD,,,,0,,,,,,,0,,,,27.2382,3.0,2025-12-03T06:00:00.000,Medium,,,3,Qual,ST,AUS,Australian Dollar,243558265.0,False
2,AIA Group Ltd,0P0000Q79U,0P0000Q79U,E,5.05476,17042024.0,169728187.0,-82200.0,Hong Kong,01299,39.792,13.4409,4,Undervalued,None,Financial Services,financialService,"{'trend': [165424953.0, 168575970.0, 176426625.0, 169728187.0]}",Equity,HK0000069689,,,,,,2010-12-31T06:00:00.000,,,HKD,HKD,,,,0,,,,,,,0,,,,15.7457,4.0,2025-12-03T06:00:00.000,Low,,,3,Qual,ST,HKG,Hong Kong Dollar,169728187.0,False
3,DBS Group Holdings Ltd,0P0000A67J,0P0000A67J,E,4.29766,3454735.0,144306146.0,-19500.0,Singapore,D05,32.169,13.7552,2,Overvalued,Narrow,Financial Services,financialService,"{'trend': [136255911.0, 144008163.0, 144554327.0, 144306146.0]}",Equity,SG1L01001701,,,,,,2010-02-28T06:00:00.000,,,SGD,SGD,,,,0,,,,,,,0,,,,14.5837,4.0,2025-12-03T06:00:00.000,Low,,,3,Qual,ST,SGP,Singapore Dollar,144306146.0,False
4,Westpac Banking Corp,0P00006X21,0P00006X21,E,4.14107,5548748.0,139048429.0,-26970.0,Australia,WBC,26.189,18.3486,2,Overvalued,Wide,Financial Services,financialService,"{'trend': [143066931.0, 141782144.0, 136784640.0, 139048429.0]}",Equity,AU000000WBC1,,,,,,2010-02-28T06:00:00.000,,,AUD,AUD,,,,0,,,,,,,0,,,,12.6988,4.0,2025-12-03T06:00:00.000,Low,,,2,Qual,ST,AUS,Australian Dollar,139048429.0,False
5,National Australia Bank Ltd,0P00006WQA,0P00006WQA,E,4.0227,4969036.0,135073822.0,-24174.0,Australia,NAB,16.5072,17.4825,2,Overvalued,Wide,Financial Services,financialService,"{'trend': [145027274.0, 142893931.0, 130673595.0, 135073822.0]}",Equity,AU000000NAB4,,,,,,2010-02-28T06:00:00.000,,,AUD,AUD,,,,0,,,,,,,0,,,,14.6631,4.0,2025-12-03T06:00:00.000,Low,,,3,Qual,ST,AUS,Australian Dollar,135073822.0,False
6,ANZ Group Holdings Ltd,0P00006W6R,0P00006W6R,E,3.37199,4839957.0,113224321.0,-23610.0,Australia,ANZ,28.6745,14.0845,3,Fairly Valued,Wide,Financial Services,financialService,"{'trend': [106241656.0, 116946711.0, 109948514.0, 113224321.0]}",Equity,AU000000ANZ3,,,,,,2023-01-03T06:00:00.000,,,AUD,AUD,,,,0,,,,,,,0,,,,21.4516,3.0,2025-12-03T06:00:00.000,Medium,,,3,Qual,ST,AUS,Australian Dollar,113224321.0,False
7,Hong Kong Exchanges and Clearing Ltd,0P00009RX8,0P00009RX8,E,3.01678,1956932.0,101296932.0,0.0,Hong Kong,00388,32.8719,27.1739,3,Fairly Valued,Wide,Financial Services,financialService,"{'trend': [108212398.0, 104536470.0, 103305982.0, 101296932.0]}",Equity,HK0388045442,,,,,,2010-02-28T06:00:00.000,,,HKD,HKD,,,,0,,,,,,,0,,,,16.2136,4.0,2025-12-03T06:00:00.000,Low,,,3,Qual,ST,HKG,Hong Kong Dollar,101296932.0,False
8,Wesfarmers Ltd,0P00006X1T,0P00006X1T,E,2.95067,1840828.0,99077072.0,-9003.0,Australia,WES,12.8418,32.6797,1,Overvalued,Wide,Consumer Cyclical,consumerCyclical,"{'trend': [112131280.0, 101948228.0, 98846979.0, 99077072.0]}",Equity,AU000000WES1,,,,,,2010-02-28T06:00:00.000,,,AUD,AUD,,,,0,,,,,,,0,,,,13.9352,4.0,2025-12-03T06:00:00.000,Low,,,1,Qual,ST,AUS,Australian Dollar,99077072.0,False
9,CSL Ltd,0P00006WCJ,0P00006WCJ,E,2.82523,787009.0,94865081.0,-3849.0,Australia,CSL,-32.2938,25.974,5,Undervalued,Narrow,Healthcare,healthcare,"{'trend': [102951351.0, 92440388.0, 96153250.0, 94865081.0]}",Equity,AU000000CSL8,,,,,,2010-02-28T06:00:00.000,,,AUD,AUD,,,,0,,,,,,,0,,,,25.0256,3.0,2025-12-03T06:00:00.000,Medium,,,3,Qual,ST,AUS,Australian Dollar,94865081.0,True
10,Oversea-Chinese Banking Corp Ltd,0P0000A68H,0P0000A68H,E,2.39257,5492841.0,80337543.0,-27000.0,Singapore,O39,20.1191,11.4943,3,Fairly Valued,Narrow,Financial Services,financialService,"{'trend': [69907504.0, 72390304.0, 78460069.0, 80337543.0]}",Equity,SG1S04926220,,,,,,2010-02-28T06:00:00.000,,,SGD,SGD,,,,0,,,,,,,0,,,,20.1794,3.0,2025-12-03T06:00:00.000,Medium,,,3,Qual,ST,SGP,Singapore Dollar,80337543.0,False
11,Sea Ltd ADR,0P0001BRQ3,0P0001BRQ3,E,2.29567,620542.0,77083727.0,-3048.0,Singapore,SE,6.5905,31.9489,4,Undervalued,Narrow,Consumer Cyclical,consumerCyclical,"{'trend': [110821536.0, 97653125.0, 86262516.0, 77083727.0]}",Equity,US81141R1005,81141R100,,,,,2021-05-27T05:00:00.000,,,USD,USD,,,,0,,,,,,,0,,,,23.3408,3.0,2025-12-03T06:00:00.000,Medium,,,4,Qual,ST,CYM,US Dollar,77083727.0,False
12,Macquarie Group Ltd,0P00006WOC,0P00006WOC,E,2.24851,587539.0,75500259.0,-2889.0,Australia,MQG,-7.6695,17.094,3,Fairly Valued,Narrow,Financial Services,financialService,"{'trend': [85793491.0, 84858210.0, 75920586.0, 75500259.0]}",Equity,AU000000MQG1,,,,,,2014-01-31T06:00:00.000,,,AUD,AUD,,,,0,,,,,,,0,,,,19.8524,4.0,2025-12-03T06:00:00.000,Low,,,4,Qual,ST,AUS,Australian Dollar,75500259.0,False
13,Goodman Group,0P0000A13L,0P0000A13L,ER,1.92007,3316747.0,64471951.0,-16389.0,Australia,GMG,-20.1396,22.8311,3,Fairly Valued,Narrow,Real Estate,realEstate,"{'trend': [71448260.0, 71757023.0, 64557797.0, 64471951.0]}",Equity,AU000000GMG2,,,,,,2019-10-17T05:00:00.000,,,AUD,AUD,,,,0,,,,,,,0,,,,11.3619,4.0,2025-12-03T06:00:00.000,Low,,,3,Qual,ST,AUS,Australian Dollar,64471951.0,False
14,Rio Tinto Ltd,0P00006WVI,0P00006WVI,E,1.63978,603389.0,55060378.0,-2997.0,Australia,RIO,20.2843,20.202,2,Overvalued,None,Basic Materials,basicMaterials,"{'trend': [48684635.0, 52905619.0, 52343181.0, 55060378.0]}",Equity,AU000000RIO1,,,,,,2010-02-28T06:00:00.000,,,AUD,AUD,,,,0,,,,,,,0,,,,20.9612,3.0,2025-12-03T06:00:00.000,Medium,,,3,Qual,ST,AUS,Australian Dollar,55060378.0,False
15,United Overseas Bank Ltd,0P0000A692,0P0000A692,E,1.5912,2025319.0,53429092.0,-9900.0,Singapore,U11,-0.698,10.2669,4,Undervalued,Narrow,Financial Services,financialService,"{'trend': [54767376.0, 54656804.0, 53136965.0, 53429092.0]}",Equity,SG1M31001969,,,,,,2010-02-28T06:00:00.000,,,SGD,SGD,,,,0,,,,,,,0,,,,14.8175,4.0,2025-12-03T06:00:00.000,Low,,,3,Qual,ST,SGP,Singapore Dollar,53429092.0,False
16,Woodside Energy Group Ltd,0P00006X25,0P00006X25,E,1.50541,3084946.0,50548440.0,-15363.0,Australia,WDS,11.0043,16.7224,5,Undervalued,None,Energy,energy,"{'trend': [46955989.0, 50497933.0, 50436138.0, 50548440.0]}",Equity,AU0000224040,980228100,,,,,2010-02-28T06:00:00.000,,,AUD,AUD,,,,0,,,,,,,0,,,,35.5496,2.0,2025-12-03T06:00:00.000,High,,,5,Qual,ST,AUS,Australian Dollar,50548440.0,False
17,Transurban Group,0P00006X04,0P00006X04,E,1.46452,5051023.0,49175474.0,-25188.0,Australia,TCL,19.0662,285.7143,3,Fairly Valued,Wide,Industrials,industrials,"{'trend': [46037575.0, 48227941.0, 49455051.0, 49175474.0]}",Equity,AU000000TCL6,,,,,,2010-02-28T06:00:00.000,,,AUD,AUD,,,,0,,,,,,,0,,,,7.6725,5.0,2025-12-03T06:00:00.000,Negligible,,,3,Qual,ST,AUS,Australian Dollar,49175474.0,False
18,Singapore Telecommunications Ltd,0P0000A69D,0P0000A69D,E,1.26885,12052783.0,42605446.0,-60600.0,Singapore,Z74,57.2078,23.31,2,Overvalued,None,Communication Services,communicationsServices,"{'trend': [38659911.0, 39604674.0, 44019268.0, 42605446.0]}",Equity,SG1T75931496,,,,,,2010-02-28T06:00:00.000,,,SGD,SGD,,,,0,,,,,,,0,,,,19.3504,4.0,2025-12-03T06:00:00.000,Low,,,2,Qual,ST,SGP,Singapore Dollar,42605446.0,False
19,Fortescue Ltd,0P00006WI4,0P00006WI4,E,1.23141,2749514.0,41348041.0,-13839.0,Australia,FMG,19.09,16.2602,2,Overvalued,None,Basic Materials,basicMaterials,"{'trend': [34078201.0, 38557393.0, 38604942.0, 41348041.0]}",Equity,AU000000FMG4,,,,,,2010-02-28T06:00:00.000,,,AUD,AUD,,,,0,,,,,,,0,,,,25.6861,3.0,2025-12-03T06:00:00.000,Medium,,,3,Qual,ST,AUS,Australian Dollar,41348041.0,False
20,Northern Star Resources Ltd,0P00006Y45,0P00006Y45,E,1.17767,2209302.0,39543502.0,-11151.0,Australia,NST,66.4478,18.3486,1,Overvalued,None,Basic Materials,basicMaterials,"{'trend': [34526930.0, 35816610.0, 39351561.0, 39543502.0]}",Equity,AU000000NST8,,,,,,2020-05-29T05:00:00.000,,,AUD,AUD,,,,0,,,,,,,0,,,,32.7922,2.0,2025-12-03T06:00:00.000,High,,,2,Qual,ST,AUS,Australian Dollar,39543502.0,False
21,Woolworths Group Ltd,0P00006X26,0P00006X26,E,1.15609,1981480.0,38819072.0,-9996.0,Australia,WOW,0.2639,23.1481,4,Undervalued,Wide,Consumer Defensive,consumerDefensive,"{'trend': [35099636.0, 37076936.0, 38100085.0, 38819072.0]}",Equity,AU000000WOW2,,,,,,2010-02-28T06:00:00.000,,,AUD,AUD,,,,0,,,,,,,0,,,,20.1242,3.0,2025-12-03T06:00:00.000,Medium,,,3,Qual,ST,AUS,Australian Dollar,38819072.0,False
22,Aristocrat Leisure Ltd,0P00006W8X,0P00006W8X,E,1.03086,901590.0,34613981.0,-4575.0,Australia,ALL,-14.6959,22.0264,4,Undervalued,Wide,Consumer Cyclical,consumerCyclical,"{'trend': [42168752.0, 37896065.0, 34494420.0, 34613981.0]}",Equity,AU000000ALL7,,,,,,2015-05-31T05:00:00.000,,,AUD,AUD,,,,0,,,,,,,0,,,,19.3062,4.0,2025-12-03T06:00:00.000,Low,,,3,Qual,ST,AUS,Australian Dollar,34613981.0,False
23,Brambles Ltd,0P0000A1L5,0P0000A1L5,E,1.0008,2216033.0,33604816.0,-11253.0,Australia,BXB,22.8528,25.3165,3,Fairly Valued,Wide,Industrials,industrials,"{'trend': [36443444.0, 36266642.0, 34966162.0, 33604816.0]}",Equity,AU000000BXB1,,,,,,2010-02-28T06:00:00.000,,,AUD,AUD,,,,0,,,,,,,0,,,,12.2629,4.0,2025-12-03T06:00:00.000,Low,,,2,Qual,ST,AUS,Australian Dollar,33604816.0,False
24,Coles Group Ltd,0P0001F3YF,0P0001F3YF,E,0.94372,2182275.0,31688078.0,-11130.0,Australia,COL,19.6381,23.5294,1,Overvalued,None,Consumer Defensive,consumerDefensive,"{'trend': [33406800.0, 31665481.0, 31943306.0, 31688078.0]}",Equity,AU0000030678,,,,,,2018-11-21T06:00:00.000,,,AUD,AUD,,,,0,,,,,,,0,,,,19.2701,4.0,2025-12-03T06:00:00.000,Low,,,1,Qual,ST,AUS,Australian Dollar,31688078.0,False
25,QBE Insurance Group Ltd,0P00006WU7,0P00006WU7,E,0.92667,2445776.0,31115579.0,-12492.0,Australia,QBE,6.0574,17.2117,2,Overvalued,None,Financial Services,financialService,"{'trend': [33390780.0, 32198575.0, 30876184.0, 31115579.0]}",Equity,AU000000QBE9,,,,,,2010-02-28T06:00:00.000,,,AUD,AUD,,,,0,,,,,,,0,,,,12.7198,4.0,2025-12-03T06:00:00.000,Low,,,2,Qual,ST,AUS,Australian Dollar,31115579.0,False
26,CK Hutchison Holdings Ltd,0P00009ROZ,0P00009ROZ,E,0.90793,4372958.0,30486400.0,-21000.0,Hong Kong,00001,34.3217,5.8445,4,Undervalued,None,Industrials,industrials,"{'trend': [28778610.0, 29091967.0, 30863908.0, 30486400.0]}",Equity,KYG217651051,,,,,,2010-02-28T06:00:00.000,,,HKD,HKD,,,,0,,,,,,,0,,,,34.9771,2.0,2025-12-03T06:00:00.000,High,,,5,Qual,ST,CYM,Hong Kong Dollar,30486400.0,False
27,Sun Hung Kai Properties Ltd,0P00009RPC,0P00009RPC,E,0.86189,2337334.0,28940338.0,-10500.0,Hong Kong,00016,34.202,11.976,3,Fairly Valued,None,Real Estate,realEstate,"{'trend': [28208129.0, 28744216.0, 29600947.0, 28940338.0]}",Equity,HK0016000132,,,,,,2018-04-03T05:00:00.000,,,HKD,HKD,,,,0,,,,,,,0,,,,15.1609,4.0,2025-12-03T06:00:00.000,Low,,,3,Qual,ST,HKG,Hong Kong Dollar,28940338.0,False
28,BOC Hong Kong Holdings Ltd,0P00009S9Y,0P00009S9Y,E,0.86022,6016250.0,28884433.0,-30000.0,China,02388,59.4032,10.142,3,Fairly Valued,None,Financial Services,financialService,"{'trend': [28489637.0, 29947097.0, 28946867.0, 28884433.0]}",Equity,HK2388011192,,,,,,2010-02-28T06:00:00.000,,,HKD,HKD,,,,0,,,,,,,0,,,,16.7403,4.0,2025-12-03T06:00:00.000,Low,,,3,Qual,ST,HKG,Hong Kong Dollar,28884433.0,False
29,Techtronic Industries Co Ltd,0P00009S1D,0P00009S1D,E,0.82638,2371500.0,27748159.0,-12000.0,Hong Kong,00669,-9.4934,15.1057,3,Fairly Valued,,Industrials,industrials,"{'trend': [30298494.0, 28079283.0, 27749133.0, 27748159.0]}",Equity,HK0669013440,,,,,,2014-06-30T05:00:00.000,,,HKD,HKD,,,,0,,,,,,,0,,,,25.9321,3.0,2025-12-03T06:00:00.000,Medium,,,3,Quan,ST,HKG,Hong Kong Dollar,27748159.0,True
30,Evolution Mining Ltd,0P00006X20,0P00006X20,E,0.79061,3292303.0,26546983.0,-17025.0,Australia,EVN,147.3282,18.7617,1,Overvalued,None,Basic Materials,basicMaterials,"{'trend': [23336574.0, 23235201.0, 25650017.0, 26546983.0]}",Equity,AU000000EVN4,,,,,,2025-11-07T06:00:00.000,,,AUD,AUD,,,,0,,,,,,,0,,,,26.9664,3.0,2025-12-03T06:00:00.000,Medium,,,2,Qual,ST,AUS,Australian Dollar,26546983.0,False
31,Hang Seng Bank Ltd,0P00009RP8,0P00009RP8,E,0.70666,1208400.0,23728220.0,-6000.0,Hong Kong,00011,66.8577,14.7929,3,Fairly Valued,None,Financial Services,financialService,"{'trend': [18617860.0, 23882432.0, 23622904.0, 23728220.0]}",Equity,HK0011000095,,,,,,2010-02-28T06:00:00.000,,,HKD,HKD,,,,0,,,,,,,0,,,,17.4156,4.0,2025-12-03T06:00:00.000,Low,,,3,Qual,ST,HKG,Hong Kong Dollar,23728220.0,False
32,CLP Holdings Ltd,0P00009RP0,0P00009RP0,E,0.68769,2664000.0,23091241.0,-13500.0,Hong Kong,00002,8.9862,15.1745,3,Fairly Valued,Narrow,Utilities,utilities,"{'trend': [21980628.0, 23032089.0, 23267571.0, 23091241.0]}",Equity,HK0002007356,,,,,,2010-02-28T06:00:00.000,,,HKD,HKD,,,,0,,,,,,,0,,,,21.4116,3.0,2025-12-03T06:00:00.000,Medium,,,3,Qual,ST,HKG,Hong Kong Dollar,23091241.0,False
33,Scentre Group,0P0000RYFB,0P0000RYFB,ER,0.66926,8465373.0,22472179.0,-44148.0,Australia,SCG,25.694,18.0505,3,Fairly Valued,Narrow,Real Estate,realEstate,"{'trend': [22820296.0, 22602647.0, 22650700.0, 22472179.0]}",Equity,AU000000SCG8,,,,,,2019-10-17T05:00:00.000,,,AUD,AUD,,,,0,,,,,,,0,,,,9.3045,5.0,2025-12-03T06:00:00.000,Negligible,,,3,Qual,ST,AUS,Australian Dollar,22472179.0,False
34,Santos Ltd,0P00006WWB,0P00006WWB,E,0.65599,5276692.0,22026804.0,-27546.0,Australia,STO,2.5715,10.6157,4,Undervalued,None,Energy,energy,"{'trend': [23468564.0, 21848252.0, 22285366.0, 22026804.0]}",Equity,AU000000STO6,,,,,,2010-02-28T06:00:00.000,,,AUD,AUD,,,,0,,,,,,,0,,,,36.3734,2.0,2025-12-03T06:00:00.000,High,,,5,Qual,ST,AUS,Australian Dollar,22026804.0,False
35,Origin Energy Ltd,0P00006WRX,0P00006WRX,E,0.63574,2799449.0,21346746.0,-14685.0,Australia,ORG,17.433,18.0505,2,Overvalued,None,Utilities,utilities,"{'trend': [23108552.0, 22485683.0, 21443292.0, 21346746.0]}",Equity,AU000000ORG5,,,,,,2010-02-28T06:00:00.000,,,AUD,AUD,,,,0,,,,,,,0,,,,33.3656,2.0,2025-12-03T06:00:00.000,High,,,2,Qual,ST,AUS,Australian Dollar,21346746.0,False
36,Fisher & Paykel Healthcare Corp Ltd,0P0000B135,0P0000B135,E,0.62268,954942.0,20908203.0,-5016.0,New Zealand,FPH,3.47,44.0529,1,Overvalued,Narrow,Healthcare,healthcare,"{'trend': [20449368.0, 20300387.0, 20447302.0, 20908203.0]}",Equity,NZFAPE0001S2,,,,,,2017-11-30T06:00:00.000,,,NZD,NZD,,,,0,,,,,,,0,,,,20.8728,3.0,2025-12-03T06:00:00.000,Medium,,,2,Qual,ST,NZL,New Zealand Dollar,20908203.0,False
37,Telstra Group Ltd,0P00006WZD,0P00006WZD,E,0.62207,6423238.0,20887631.0,-33735.0,Australia,TLS,25.5583,24.57,4,Undervalued,Narrow,Communication Services,communicationsServices,"{'trend': [20624184.0, 20808118.0, 20724683.0, 20887631.0]}",Equity,AU000000TLS2,,,,,,2010-02-28T06:00:00.000,,,AUD,AUD,,,,0,,,,,,,0,,,,17.3793,4.0,2025-12-03T06:00:00.000,Low,,,3,Qual,ST,AUS,Australian Dollar,20887631.0,False
38,Xero Ltd,0P0000XARV,0P0000XARV,E,0.61085,269103.0,20511085.0,-1413.0,Australia,XRO,-34.0117,106.383,2,Overvalued,Narrow,Technology,technology,"{'trend': [27977600.0, 25572878.0, 21574725.0, 20511085.0]}",Equity,NZXROE0001S2,,,,,,2020-11-30T06:00:00.000,,,AUD,AUD,,,,0,,,,,,,0,,,,16.8949,4.0,2025-12-03T06:00:00.000,Low,,,4,Qual,ST,NZL,Australian Dollar,20511085.0,False
39,Insurance Australia Group Ltd,0P00006WLV,0P00006WLV,E,0.59952,3869002.0,20130479.0,-20403.0,Australia,IAG,-2.8708,16.3399,2,Overvalued,None,Financial Services,financialService,"{'trend': [20647029.0, 19915894.0, 19689448.0, 20130479.0]}",Equity,AU000000IAG3,,,,,,2010-02-28T06:00:00.000,,,AUD,AUD,,,,0,,,,,,,0,,,,20.7934,3.0,2025-12-03T06:00:00.000,Medium,,,3,Qual,ST,AUS,Australian Dollar,20130479.0,False
40,Grab Holdings Ltd Class A,0P0001NYO7,,E,0.59635,3865660.0,20024119.0,-20367.0,Malaysia,GRAB,-0.5792,57.4713,3,Fairly Valued,None,Technology,technology,"{'trend': [23177193.0, 23258568.0, 21067918.0, 20024119.0]}",Equity,KYG4124C1096,G4124C109,,,,,2022-02-28T06:00:00.000,,,USD,USD,,,,0,,,,,,,0,,,,17.0717,4.0,2025-12-03T06:00:00.000,Low,,,3,Qual,ST,CYM,US Dollar,20024119.0,False
41,Suncorp Group Ltd,0P00006WY9,0P00006WY9,E,0.58618,1742556.0,19682733.0,-9183.0,Australia,SUN,-2.1322,15.8983,3,Fairly Valued,None,Financial Services,financialService,"{'trend': [23602373.0, 22694681.0, 20067056.0, 19682733.0]}",Equity,AU000000SUN6,,,,,,2011-01-31T06:00:00.000,,,AUD,AUD,,,,0,,,,,,,0,,,,20.0041,3.0,2025-12-03T06:00:00.000,Medium,,,3,Qual,ST,AUS,Australian Dollar,19682733.0,False
42,Computershare Ltd,0P00006WEP,0P00006WEP,E,0.57659,848054.0,19360700.0,-4470.0,Australia,CPU,6.8224,24.5098,3,Fairly Valued,Wide,Financial Services,financialService,"{'trend': [20291755.0, 20303909.0, 19965945.0, 19360700.0]}",Equity,AU000000CPU5,,,,,,2010-02-28T06:00:00.000,,,AUD,AUD,,,,0,,,,,,,0,,,,19.7538,4.0,2025-12-03T06:00:00.000,Low,,,3,Qual,ST,AUS,Australian Dollar,19360700.0,False
43,Link Real Estate Investment Trust,0P0000CMHW,0P0000CMHW,ER,0.55586,4241805.0,18664465.0,-22200.0,Hong Kong,00823,11.0484,13.5685,4,Undervalued,None,Real Estate,realEstate,"{'trend': [21743381.0, 22141579.0, 20093219.0, 18664465.0]}",Equity,HK0823032773,,,,,,2019-10-17T05:00:00.000,,,HKD,HKD,,,,0,,,,,,,0,,,,7.8252,5.0,2025-12-03T06:00:00.000,Negligible,,,5,Qual,ST,HKG,Hong Kong Dollar,18664465.0,False
44,Keppel Ltd,0P0000A683,0P0000A683,E,0.55117,2371800.0,18507234.0,-12300.0,Singapore,BN4,53.0435,20.2429,2,Overvalued,None,Industrials,industrials,"{'trend': [16291523.0, 18827365.0, 18752447.0, 18507234.0]}",Equity,SG1U68934629,,,,,,2010-02-28T06:00:00.000,,,SGD,SGD,,,,0,,,,,,,0,,,,28.7749,3.0,2025-12-03T06:00:00.000,Medium,,,2,Qual,ST,SGP,Singapore Dollar,18507234.0,False
45,Cochlear Ltd,0P00006WE9,0P00006WE9,E,0.54587,105303.0,18329264.0,-552.0,Australia,COH,-7.8311,38.7597,2,Overvalued,Wide,Healthcare,healthcare,"{'trend': [19659003.0, 20072557.0, 19271244.0, 18329264.0]}",Equity,AU000000COH5,,,,,,2010-02-28T06:00:00.000,,,AUD,AUD,,,,0,,,,,,,0,,,,17.298,4.0,2025-12-03T06:00:00.000,Low,,,2,Qual,ST,AUS,Australian Dollar,18329264.0,False
46,Jardine Matheson Holdings Ltd,0P0000A60D,0P00007OI8,E,0.53877,264100.0,18090850.0,-1200.0,Singapore,J36,62.4072,,4,Undervalued,,Industrials,industrials,"{'trend': [16474500.0, 15703875.0, 17324960.0, 18090850.0]}",Equity,BMG507361001,,,,,,2016-02-29T06:00:00.000,,,USD,USD,,,,0,,,,,,,0,,,,40.6227,1.0,2025-12-03T06:00:00.000,Severe,,,4,Quan,ST,BMU,US Dollar,18090850.0,False
47,Singapore Exchange Ltd,0P0000NR0N,0P0000NR0N,E,0.52791,1375261.0,17726129.0,0.0,Singapore,S68,38.9936,25.974,2,Overvalued,Wide,Financial Services,financialService,"{'trend': [17443702.0, 17890175.0, 17902869.0, 17726129.0]}",Equity,SG1J26887955,,,,,,2010-02-28T06:00:00.000,,,SGD,SGD,,,,0,,,,,,,0,,,,19.2825,4.0,2025-12-03T06:00:00.000,Low,,,2,Qual,ST,SGP,Singapore Dollar,17726129.0,False
48,CapitaLand Integrated Commercial Trust,0P0000A6ED,0P0000A6ED,ER,0.52395,9867805.0,17593200.0,-51900.0,Singapore,C38U,26.0415,19.4175,3,Fairly Valued,Narrow,Real Estate,realEstate,"{'trend': [16868953.0, 17384076.0, 17904754.0, 17593200.0]}",Equity,SG1M51904654,,,,,,2019-10-17T05:00:00.000,,,SGD,SGD,,,,0,,,,,,,0,,,,9.0338,5.0,2025-12-03T06:00:00.000,Negligible,,,3,Qual,ST,SGP,Singapore Dollar,17593200.0,False
49,Hong Kong and China Gas Co Ltd,0P00009RP1,0P00009RP1,E,0.49462,18383841.0,16608204.0,-93000.0,Hong Kong,00003,24.0527,,3,Fairly Valued,,Utilities,utilities,"{'trend': [15861586.0, 17068799.0, 17095536.0, 16608204.0]}",Equity,HK0003000038,,,,,,2010-02-28T06:00:00.000,,,HKD,HKD,,,,0,,,,,,,0,,,,20.3056,3.0,2025-12-03T06:00:00.000,Medium,,,3,Quan,ST,HKG,Hong Kong Dollar,16608204.0,False
50,South32 Ltd,0P0001608R,0P0001608R,E,0.49156,7229927.0,16505605.0,-38121.0,Australia,S32,6.1985,22.8833,3,Fairly Valued,None,Basic Materials,basicMaterials,"{'trend': [13244538.0, 15214912.0, 15267318.0, 16505605.0]}",Equity,AU000000S320,,,,,,2015-05-31T05:00:00.000,,,AUD,AUD,,,,0,,,,,,,0,,,,20.3445,3.0,2025-12-03T06:00:00.000,Medium,,,3,Qual,ST,AUS,Australian Dollar,16505605.0,False
51,Galaxy Entertainment Group Ltd,0P00009RPN,0P00009RPN,E,0.48219,3194500.0,16190896.0,-15000.0,Hong Kong,00027,9.6721,14.2653,3,Fairly Valued,Narrow,Consumer Cyclical,consumerCyclical,"{'trend': [19633952.0, 17837544.0, 16510825.0, 16190896.0]}",Equity,HK0027032686,,,,,,2011-08-31T05:00:00.000,,,HKD,HKD,,,,0,,,,,,,0,,,,26.3859,3.0,2025-12-03T06:00:00.000,Medium,,,3,Qual,ST,HKG,Hong Kong Dollar,16190896.0,False
52,Singapore Technologies Engineering Ltd,0P0000A6AK,0P0000A6AK,E,0.47795,2529600.0,16048556.0,-13200.0,Singapore,S63,87.8587,26.5957,3,Fairly Valued,Narrow,Industrials,industrials,"{'trend': [16753836.0, 16731455.0, 16211003.0, 16048556.0]}",Equity,SG1F60858221,,,,,,2010-02-28T06:00:00.000,,,SGD,SGD,,,,0,,,,,,,0,,,,32.112,2.0,2025-12-03T06:00:00.000,High,,,2,Qual,ST,SGP,Singapore Dollar,16048556.0,False
53,Futu Holdings Ltd ADR,0P0001GZB0,0P0001GZB0,E,0.47603,92202.0,15984139.0,-483.0,Hong Kong,FUTU,101.138,,3,Fairly Valued,,Financial Services,financialService,"{'trend': [17178830.0, 20000733.0, 15642991.0, 15984139.0]}",Equity,US36118L1061,36118L106,,,,,2021-05-27T05:00:00.000,,,USD,USD,,,,0,,,,,,,0,,,,27.1288,3.0,2025-12-03T06:00:00.000,Medium,,,3,Quan,ST,CYM,US Dollar,15984139.0,False
