securityName,secId,performanceId,holdingTypeId,weighting,numberOfShare,marketValue,shareChange,country,ticker,totalReturn1Year,forwardPERatio,stockRating,assessment,economicMoat,sector,sectorCode,holdingTrend,holdingType,isin,cusip,secondarySectorId,superSectorName,primarySectorName,secondarySectorName,firstBoughtDate,maturityDate,coupon,currency,localCurrencyCode,prospectusNetExpenseRatio,oneYearReturn,morningstarRating,ePUsedForOverallRating,analystRating,medalistRating,medalistRatingLabel,overallRatingPublishDateUtc,totalAssets,ttmYield,epUsedFor1YearReturn,morningstarCategory,totalAssetsMagnitude,lastTurnoverRatio,susEsgRiskScore,susEsgRiskGlobes,esgAsOfDate,susEsgRiskCategory,managementExpenseRatio,qualRating,quantRating,bestRatingType,securityType,domicileCountryId,currencyName,originalMarketValue,isMomentumFilterFlag
National Aluminium Co Ltd,0P0000BKJ8,0P0000BKJ8,E,0.14678,1365288.0,3993643.0,0.0,India,532234,25.0325,,3,Fairly Valued,,Basic Materials,basicMaterials,"{'trend': [3055419.0, 3438526.0, 3834622.0, 3993643.0]}",Equity,INE139A01034,,,,,,2025-03-25T05:00:00.000,,,INR,INR,,,,0,,,,,,,0,,,,35.234,2.0,2025-12-03T06:00:00.000,High,,,3,Quan,ST,IND,Indian Rupee,3993643.06,False
Jindal Stainless Ltd,0P0000CDJ0,0P0000CDJ0,E,0.14446,456492.0,3930616.0,0.0,India,532508,4.8138,,3,Fairly Valued,,Basic Materials,basicMaterials,"{'trend': [3524025.0, 3700872.0, 3802542.0, 3930616.0]}",Equity,INE220G01021,,,,,,2024-03-19T05:00:00.000,,,INR,INR,,,,0,,,,,,,0,,,,39.858,2.0,2025-12-03T06:00:00.000,High,,,3,Quan,ST,IND,Indian Rupee,3930615.64,False
ICICI Prudential Life Insurance Co Ltd,0P00018S4Z,0P00018S4Z,E,0.14406,557004.0,3919772.0,0.0,India,540133,-6.409,,3,Fairly Valued,,Financial Services,financialService,"{'trend': [3469108.0, 3541836.0, 3729350.0, 3919772.0]}",Equity,INE726G01019,,,,,,2018-02-28T06:00:00.000,,,INR,INR,,,,0,,,,,,,0,,,,17.5836,4.0,2025-12-03T06:00:00.000,Low,,,3,Quan,ST,IND,Indian Rupee,3919771.94,False
Union Bank of India,0P0000AHP8,0P0000AHP8,E,0.14326,2339696.0,3897897.0,0.0,India,532477,22.1404,,3,Fairly Valued,,Financial Services,financialService,"{'trend': [3391073.0, 3741581.0, 3874136.0, 3897897.0]}",Equity,INE692A01016,,,,,,2018-02-07T06:00:00.000,,,INR,INR,,,,0,,,,,,,0,,,,20.0937,3.0,2025-12-03T06:00:00.000,Medium,,,3,Quan,ST,IND,Indian Rupee,3897896.51,False
Zydus Lifesciences Ltd,0P0000CEZZ,0P0000CEZZ,E,0.14249,379712.0,3876966.0,0.0,India,532321,-3.6489,,3,Fairly Valued,,Healthcare,healthcare,"{'trend': [3901380.0, 3980029.0, 3866286.0, 3876966.0]}",Equity,INE010B01027,,,,,,2022-03-08T06:00:00.000,,,INR,INR,,,,0,,,,,,,0,,,,28.5655,3.0,2025-12-03T06:00:00.000,Medium,,,3,Quan,ST,IND,Indian Rupee,3876966.47,False
Waaree Energies Ltd,0P0001TYVF,0P0001TYVF,E,0.14139,120056.0,3847160.0,0.0,India,WAAREEENER,-9.4237,,2,Overvalued,,Technology,technology,"{'trend': [4181345.0, 4426098.0, 4114754.0, 3847160.0]}",Equity,INE377N01017,,,,,,2025-06-24T05:00:00.000,,,INR,INR,,,,0,,,,,,,0,,,,,,,,,,2,Quan,ST,IND,Indian Rupee,3847160.01,False
Hindustan Zinc Ltd,0P0000AKUR,0P0000AKUR,E,0.13996,658340.0,3808106.0,0.0,India,500188,13.8942,19.6464,2,Overvalued,,Basic Materials,basicMaterials,"{'trend': [3323844.0, 3374514.0, 3451027.0, 3808106.0]}",Equity,INE267A01025,,,,,,2018-02-07T06:00:00.000,,,INR,INR,,,,0,,,,,,,0,,,,27.8616,3.0,2025-12-03T06:00:00.000,Medium,,,2,Quan,ST,IND,Indian Rupee,3808105.82,False
Aditya Birla Capital Ltd,0P0001BJU8,0P0001BJU8,E,0.13908,964636.0,3784132.0,0.0,India,540691,83.751,,3,Fairly Valued,,Financial Services,financialService,"{'trend': [2950959.0, 3363945.0, 3731346.0, 3784132.0]}",Equity,INE674K01013,,,,,,2019-03-18T05:00:00.000,,,INR,INR,,,,0,,,,,,,0,,,,14.5788,4.0,2025-12-03T06:00:00.000,Low,,,3,Quan,ST,IND,Indian Rupee,3784131.82,False
Biocon Ltd,0P0000B02D,0P0000B02D,E,0.13873,893440.0,3774785.0,0.0,India,532523,8.6584,,3,Fairly Valued,,Healthcare,healthcare,"{'trend': [3187986.0, 3576000.0, 3844931.0, 3774785.0]}",Equity,INE376G01013,,,,,,2018-03-19T05:00:00.000,,,INR,INR,,,,0,,,,,,,0,,,,27.1493,3.0,2025-12-03T06:00:00.000,Medium,,,3,Quan,ST,IND,Indian Rupee,3774785.24,False
Oil India Ltd,0P0000N0AJ,0P0000N0AJ,E,0.13747,834808.0,3740490.0,0.0,India,533106,-10.6618,,3,Fairly Valued,,Energy,energy,"{'trend': [3614712.0, 3891328.0, 3726535.0, 3740490.0]}",Equity,INE274J01014,,,,,,2018-02-07T06:00:00.000,,,INR,INR,,,,0,,,,,,,0,,,,48.2102,1.0,2025-12-03T06:00:00.000,Severe,,,3,Quan,ST,IND,Indian Rupee,3740490.5,True
